model,removed_regressors
lasso,8 12 33 35 37 47 54 57 94 102 120 121 136 148 152 157 164 166 174 175 178 179 182 198 201 202 204 207 220 228 230 242 247 251 252 253 263 264 266 275 294 328 339 343 344 346 348 366 371 412 414 442 444 449 450 455 458 462 475 477
lm,1 8 12 14 15 17 24 26 30 31 33 35 36 43 47 53 54 55 69 82 83 89 94 98 103 107 108 114 120 121 128 133 134 136 137 145 148 152 158 162 164 165 166 171 175 178 179 189 191 195 205 206 209 217 218 219 220 228 229 230 233 243 245 247 251 253 263 266 275 284 293 294 296 302 304 306 309 318 328 336 343 344 349 355 356 366 380 385 395 405 411 412 414 419 423 425 431 433 442 447 449 450 458 461
